,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
80,81,flattened:0025-1220-1453:24_1470192680,37886,1453.1370000000002,1220.157,220.968,218.303,162.863,223.37900000000002,25,1346,1192,166.275,218.0,24,1470192680,218813.37747086465,True,False,1,7.0
81,82,flattened:0025-1700-1001:24_1470192680,39383,1001.4639999999999,1698.868,230.41299999999998,217.62599999999998,130.403,232.108,25,950,1594,116.896,219.045,24,1470192680,233674.01428480574,True,False,1,8.0
82,83,flattened:0026-1009-0986:25_1470192740,38794,986.441,1010.31,226.33900000000003,218.231,100.009,229.12,26,958,900,106.22,219.389,25,1470192740,229589.67709107642,True,False,1,6.0
83,84,flattened:0026-1219-1453:25_1470192740,37914,1453.183,1219.996,221.03599999999997,218.39700000000002,162.359,223.25799999999998,26,1344,1202,170.2,218.976,25,1470192740,220087.4395147369,True,False,1,7.0
84,85,flattened:0026-1699-1001:25_1470192740,39343,1001.199,1698.848,230.31799999999998,217.495,128.80100000000002,231.812,26,910,1627,142.537,219.01,25,1470192740,233160.06868995042,True,False,1,8.0
85,86,flattened:0027-1009-0988:26_1470192800,38771,988.3739999999999,1010.5110000000001,226.261,218.17700000000002,101.25200000000001,229.02,27,957,901,107.01100000000001,218.0,26,1470192800,227310.6234855812,True,False,1,6.0
86,87,flattened:0027-1220-1453:26_1470192800,37902,1452.848,1220.162,220.858,218.50400000000002,163.327,222.99099999999999,27,1344,1201,169.144,218.0,26,1470192800,218236.83227798887,True,False,1,7.0
87,88,flattened:0027-1699-1001:26_1470192800,39328,1001.235,1698.5870000000002,230.351,217.38099999999997,128.654,231.899,27,914,1622,139.372,218.696,26,1470192800,232808.04046253717,True,False,1,8.0
88,89,flattened:0028-1009-0989:27_1470192862,38797,989.632,1010.552,226.208,218.373,101.48299999999999,229.31400000000002,28,958,901,107.25,219.0,27,1470192862,229290.34848206834,True,False,1,6.0
89,90,flattened:0028-1220-1453:27_1470192862,37914,1453.0529999999999,1220.1889999999999,220.875,218.55599999999998,165.515,223.43,28,1344,1201,169.947,218.0,27,1470192862,218889.23589465613,True,False,1,7.0
90,91,flattened:0028-1699-1001:27_1470192862,39344,1001.2339999999999,1698.3570000000002,230.257,217.558,127.943,231.795,28,914,1622,139.023,218.74200000000002,27,1470192862,232718.15179299982,True,False,1,8.0
91,92,flattened:0029-1009-0989:28_1470192922,38783,989.95,1010.535,226.09400000000002,218.405,102.56700000000001,229.02,29,959,901,107.01100000000001,219.0,28,1470192922,228839.54504254376,True,False,1,6.0
92,93,flattened:0029-1219-1453:28_1470192922,37932,1452.796,1220.013,220.976,218.56,169.41099999999997,223.305,29,1343,1206,171.761,218.90099999999998,28,1470192922,220045.63772107204,True,False,1,7.0
93,94,flattened:0029-1698-1001:28_1470192922,39319,1001.3969999999999,1698.096,230.226,217.449,127.431,231.49099999999999,29,914,1622,140.25799999999998,218.58,28,1470192922,231996.78243561258,True,False,1,8.0
94,95,flattened:0030-1009-0990:29_1470192980,38832,990.3489999999999,1010.568,226.13400000000001,218.642,102.101,228.729,30,960,901,106.771,219.497,29,1470192980,229155.35209390652,True,False,1,6.0
95,96,flattened:0030-1219-1453:29_1470192980,37969,1452.8110000000001,1220.003,221.051,218.699,171.01,223.09,30,1344,1199,170.453,218.94,29,1470192980,219783.00478291104,True,False,1,7.0
96,97,flattened:0030-1698-1001:29_1470192980,39363,1001.408,1697.7910000000002,230.30599999999998,217.61700000000002,128.06799999999998,231.614,30,924,1611,131.675,218.78099999999998,29,1470192980,232498.17720776406,True,False,1,8.0
97,98,flattened:0031-1009-0990:30_1470193042,38788,990.7869999999999,1010.6110000000001,225.96,218.563,102.223,228.65900000000002,31,957,902,107.56299999999999,219.0,30,1470193042,228286.8161801435,True,False,1,6.0
98,99,flattened:0031-1220-1453:30_1470193042,37923,1452.875,1220.208,220.923,218.56099999999998,170.19099999999997,223.403,31,1342,1213,173.575,218.0,30,1470193042,218849.0733690574,True,False,1,7.0
99,100,flattened:0031-1698-1001:30_1470193042,39269,1001.2239999999999,1697.934,229.984,217.40099999999998,127.79,231.36599999999999,31,913,1623,139.909,218.68400000000003,30,1470193042,231964.3095250249,True,False,1,8.0
100,101,flattened:0032-1009-0990:31_1470193100,38787,990.74,1010.3989999999999,225.795,218.71599999999998,103.44200000000001,228.373,32,957,902,109.704,219.0,31,1470193100,227849.55259867443,True,False,1,6.0
101,102,flattened:0032-1219-1453:31_1470193100,37946,1452.925,1219.896,220.94299999999998,218.673,174.158,223.18200000000002,32,1344,1199,168.891,218.81799999999998,31,1470193100,219738.2586616386,True,False,1,7.0
102,103,flattened:0032-1698-1001:31_1470193100,39263,1001.26,1697.852,229.99099999999999,217.362,128.49,231.53599999999997,32,918,1617,137.976,218.252,31,1470193100,231559.42600847472,True,False,1,8.0
103,104,flattened:0033-1009-0990:32_1470193162,38760,990.934,1010.222,225.762,218.597,102.771,228.373,33,956,902,109.704,219.0,32,1470193162,227849.55259867443,True,False,1,6.0
104,105,flattened:0033-1219-1453:32_1470193162,37929,1453.092,1219.903,220.90900000000002,218.609,0.867,223.188,33,1342,1215,174.085,218.709,32,1470193162,219584.67653378908,True,False,1,7.0
105,106,flattened:0033-1698-1001:32_1470193162,39251,1000.923,1697.975,229.852,217.42700000000002,128.05,231.467,33,918,1617,137.626,218.252,32,1470193162,231452.87481458034,True,False,1,8.0
106,107,flattened:0034-1009-0990:33_1470193222,38804,990.945,1010.4060000000001,225.954,218.658,102.836,228.65900000000002,34,959,901,107.56299999999999,219.0,33,1470193222,228286.8161801435,True,False,1,6.0
107,108,flattened:0034-1219-1453:33_1470193222,37934,1453.05,1219.692,221.015,218.533,1.021,223.25799999999998,34,1344,1200,170.2,218.52700000000002,33,1470193222,219417.75584177583,True,False,1,7.0
108,109,flattened:0034-1698-1001:33_1470193222,39239,1000.8910000000001,1697.6570000000002,229.925,217.291,129.241,231.49099999999999,34,913,1622,140.25799999999998,218.26,33,1470193222,231502.28579578976,True,False,1,8.0
109,110,flattened:0035-1009-0991:34_1470193286,38788,991.17,1010.442,225.96900000000002,218.554,103.292,228.373,35,957,902,109.704,218.0,34,1470193286,226325.04870689538,True,False,1,6.0
110,111,flattened:0035-1220-1453:34_1470193286,37935,1452.66,1220.133,220.982,218.572,2.016,223.00900000000001,35,1344,1199,167.833,218.0,34,1470193286,218263.55679157583,True,False,1,7.0
111,112,flattened:0035-1698-1001:34_1470193286,39233,1000.9,1697.71,229.89,217.291,128.615,231.7,35,914,1621,138.674,218.49599999999998,34,1470193286,232190.13628016025,True,False,1,8.0
112,113,flattened:0036-1009-0991:35_1470193342,38800,991.441,1010.546,226.013,218.579,104.51,228.11599999999999,36,958,902,110.262,219.0,35,1470193342,227457.1035527755,True,False,1,6.0
113,114,flattened:0036-1219-1452:35_1470193342,37921,1452.455,1219.983,220.801,218.67,5.47,223.00900000000001,36,1344,1198,167.833,218.769,35,1470193342,219407.32610816392,True,False,1,7.0
114,115,flattened:0036-1698-1001:35_1470193342,39233,1001.0039999999999,1697.7160000000001,229.905,217.27700000000002,128.645,231.49099999999999,36,914,1621,140.25799999999998,218.572,35,1470193342,231984.41144568127,True,False,1,8.0
115,116,flattened:0037-1009-0991:36_1470193400,38797,991.4989999999999,1010.77,225.97299999999998,218.601,103.876,228.359,37,958,902,107.324,219.0,36,1470193400,227828.16243489477,True,False,1,6.0
116,117,flattened:0037-1219-1452:36_1470193400,37936,1452.398,1219.853,220.87400000000002,218.68400000000003,4.13,222.805,37,1344,1199,169.396,218.667,36,1470193400,218951.72070066858,True,False,1,7.0
117,118,flattened:0037-1698-1001:36_1470193400,39201,1001.507,1697.297,229.90200000000002,217.10299999999998,128.811,231.899,37,914,1621,139.372,218.247,36,1470193400,232112.7818557886,True,False,1,8.0
118,119,flattened:0038-1009-0992:37_1470193460,38807,992.245,1010.508,226.092,218.542,103.419,228.65,38,957,902,109.148,218.91400000000002,37,1470193460,228141.50929140954,True,False,1,6.0
119,120,flattened:0038-1219-1453:37_1470193460,37940,1452.585,1219.89,221.048,218.535,5.147,222.805,38,1344,1199,169.396,218.493,37,1470193460,218692.9324712458,True,False,1,7.0
120,121,flattened:0038-1697-1001:37_1470193460,39234,1001.6239999999999,1696.533,230.023,217.171,130.124,231.795,38,916,1618,139.023,218.247,37,1470193460,231951.93968952043,True,False,1,8.0
121,122,flattened:0039-1009-0992:38_1470193520,38816,992.419,1010.567,226.153,218.53400000000002,103.859,228.817,39,957,902,110.73200000000001,219.0,38,1470193520,228528.62109651545,True,False,1,6.0
122,123,flattened:0039-1219-1453:38_1470193520,37955,1452.586,1219.702,221.05,218.61900000000003,5.013999999999999,222.729,39,1342,1214,175.365,218.493,38,1470193520,218579.96254638018,True,False,1,7.0
123,124,flattened:0039-1697-1001:38_1470193520,39252,1001.711,1696.2839999999999,230.012,217.28099999999998,129.94899999999998,231.458,39,911,1624,141.843,218.547,38,1470193520,231894.73492060316,True,False,1,8.0
124,125,flattened:0040-1010-0993:39_1470193580,38808,993.26,1011.1439999999999,226.253,218.392,104.411,229.172,40,958,902,110.96600000000001,219.0,39,1470193580,229072.53964035065,True,False,1,6.0
125,126,flattened:0040-1220-1452:39_1470193580,37936,1452.41,1219.961,220.929,218.63,6.981,222.623,40,1344,1199,169.649,218.0,39,1470193580,217690.94253510385,True,False,1,7.0
126,127,flattened:0040-1696-1002:39_1470193580,39260,1001.762,1696.0720000000001,229.97400000000002,217.361,128.125,231.49099999999999,40,914,1620,140.25799999999998,218.574,39,1470193580,231987.50415193365,True,False,1,8.0
127,128,flattened:0041-1010-0993:40_1470193640,38784,993.066,1011.189,226.22099999999998,218.28799999999998,104.008,228.98,41,959,902,109.385,218.0,40,1470193640,227249.60868964175,True,False,1,6.0
128,129,flattened:0041-1219-1452:40_1470193640,37920,1452.225,1219.78,220.99099999999999,218.476,11.225999999999999,222.524,41,1342,1211,173.29,218.61700000000002,40,1470193640,218459.6032247679,True,False,1,7.0
